"","...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","...64","...65","...66","...67","...68","...69"
"1","2002 Q2",0,0,5e+07,5e+07,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549,47601549
"2","2002 Q3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"3","2002 Q4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"4","2003 Q1",50100000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,50325000,NA,NA,NA
"5","2003 Q2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"6","2003 Q3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"7","2003 Q4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"8","2004 Q1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"9","2004 Q2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"10","2004 Q3",0,0,0,32669080,33286960,33286960,33286960,33286960,33286960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
